INSERT INTO public.skripsi(
    id_skripsi, judul, pengarang, tahun, jumlah_halaman)
VALUES 
    ('SINF-1', 'Pengembangan Aplikasi E-Commerce Berbasis Web Menggunakan Metode Agile: Studi Kasus UMKM di Surabaya', 'Andi Susanto', '2021', '80'),
    ('SINF-10', 'Analisis Keamanan Sistem Informasi E-Voting untuk Pemilihan Raya Mahasiswa di Lingkungan Kampus UINSA Surabaya', 'Grite Agatha', '2017', '90'),
    ('SINF-100', 'Telecommunications Regulatory Compliance', 'Lina Wijaya', '2016', '175'),
    ('SINF-11', 'Penerapan Teknologi Internet of Things (IoT) dalam Monitoring Suhu dan Kelembaban Ruangan pada Sistem Informasi Laboratorium Komputer', 'Ahmad Basuki', '2019', '65'),
    ('SINF-12', 'Optimalisasi Sistem Informasi Manajemen Persediaan pada Perusahaan Distributor dengan Pendekatan Supply Chain Management', 'Ambar Retnowati', '2021', '75'),
    ('SINF-13', 'Implementing Business Intelligence in Retail Industry', 'Dewi Susanti', '2020', '150'),
    ('SINF-14', 'Risk Management in Financial Institutions', 'Rudi Cahyono', '2019', '180'),
    ('SINF-15', 'Predictive Analytics for Marketing Optimization', 'Sinta Wijaya', '2021', '200'),
    ('SINF-16', 'Compliance Frameworks in Banking Systems', 'Budi Santoso', '2018', '160'),
    ('SINF-17', 'Data Mining Techniques in Healthcare', 'Lina Setiawan', '2022', '220'),
    ('SINF-18', 'Cloud Computing Security', 'Adi Prabowo', '2017', '190'),
    ('SINF-19', 'Business Process Optimization using AI', 'Fitriani Rahman', '2023', '210'),
    ('SINF-2', 'Analisis Keamanan Sistem Informasi Akademik Menggunakan Metode Ethical Hacking', 'Rina Fitriani', '2019', '75'),
    ('SINF-20', 'Cybersecurity Measures in Banking', 'Agus Sutanto', '2016', '175'),
    ('SINF-21', 'Predictive Maintenance using IoT', 'Rina Wulandari', '2024', '230'),
    ('SINF-22', 'Data Warehousing Strategies', 'Bayu Prasetyo', '2015', '185'),
    ('SINF-23', 'Social Media Analytics for Business', 'Dini Pratiwi', '2020', '155'),
    ('SINF-24', 'Fraud Detection using Machine Learning', 'Fajar Cahyadi', '2019', '175'),
    ('SINF-25', 'E-commerce Security Strategies', 'Rizki Pratama', '2021', '195'),
    ('SINF-26', 'Big Data Implementation in Supply Chain', 'Lia Setiawan', '2018', '165'),
    ('SINF-27', 'AI in Healthcare Management', 'Budi Santoso', '2022', '205'),
